"positivity_rate","state_name"
"12.92","Michigan"
"12.83","Puerto Rico"
"10.50","South Dakota"
"8.50","Nebraska"
"8.31","Florida"
"8.01","Pennsylvania"
"7.69","New Jersey"
"7.50","Nevada"
"6.96","West Virginia"
"6.82","Tennessee"
